engine,kind,phash,dataset,split,seed,n,n_budget_truncated,acc_orig,acc_strict,acc_perm,acc_matched_strict,acc_matched_perm,unparsed_orig,unparsed_strict,mean_think
hf,exit_only,079322feb6,aime,test,0,30,20,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.16666666666666666,0.16666666666666666,0.5,0.5,6769.633333333333
hf,exit_only,079322feb6,aime,test,1,30,20,0.3,0.3,0.3,0.2,0.23333333333333334,0.4,0.4,7940.1
hf,exit_only,079322feb6,aime,test,2,30,22,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.5333333333333333,6784.133333333333
hf,exit_only,079322feb6,aime,test,3,30,18,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.43333333333333335,0.43333333333333335,9724.733333333334
hf,exit_only,079322feb6,gpqa_diamond,test,0,198,83,0.4444444444444444,0.4444444444444444,0.4494949494949495,0.36363636363636365,0.3787878787878788,0.04040404040404044,0.04040404040404044,2555.3232323232323
hf,exit_only,079322feb6,gpqa_diamond,test,1,198,84,0.41414141414141414,0.41414141414141414,0.42424242424242425,0.3181818181818182,0.3181818181818182,0.0505050505050505,0.0505050505050505,2591.212121212121
hf,exit_only,079322feb6,gpqa_diamond,test,2,198,89,0.4444444444444444,0.4444444444444444,0.4595959595959596,0.3383838383838384,0.35353535353535354,0.0505050505050505,0.0505050505050505,2700.681818181818
hf,exit_only,079322feb6,gpqa_diamond,test,3,198,69,0.4292929292929293,0.4292929292929293,0.4292929292929293,0.35353535353535354,0.3686868686868687,0.04040404040404044,0.04040404040404044,2579.979797979798
hf,exit_only,079322feb6,gsm8k,test,0,250,3,0.904,0.904,0.904,0.904,0.904,0.016000000000000014,0.016000000000000014,500.364
hf,exit_only,079322feb6,gsm8k,test,1,250,6,0.912,0.912,0.916,0.9,0.912,0.03200000000000003,0.03200000000000003,486.892
hf,exit_only,079322feb6,gsm8k,test,2,250,2,0.896,0.896,0.904,0.896,0.904,0.02400000000000002,0.02400000000000002,492.892
hf,exit_only,079322feb6,gsm8k,test,3,250,3,0.876,0.876,0.884,0.876,0.888,0.02400000000000002,0.02400000000000002,453.548
hf,exit_only,079322feb6,math500,test,0,500,108,0.832,0.832,0.848,0.73,0.746,0.126,0.126,1400.426
hf,exit_only,079322feb6,math500,test,1,500,102,0.836,0.836,0.852,0.736,0.756,0.09599999999999997,0.09599999999999997,1464.47
hf,exit_only,079322feb6,math500,test,2,500,105,0.878,0.878,0.88,0.75,0.762,0.07799999999999996,0.07799999999999996,1326.528
hf,exit_only,079322feb6,math500,test,3,500,98,0.836,0.836,0.844,0.76,0.772,0.10599999999999998,0.10599999999999998,1400.7
vllm,noop,2217fed51d,aime,test,0,30,14,0.4,0.4,0.4,0.16666666666666666,0.16666666666666666,0.1333333333333333,0.1333333333333333,12261.133333333333
